Species;Taxa;Sex;Age.d;Weght.g;Length.cm;Asymptotic weight.g;Asymptotic length.cm;Paper ;Comments
Dosidicus gigas;Squid;NA;278.53;1991.203707;50.315;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;260.251;1992.058526;50.325;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;296.809;2011.68779;50.554;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;240.232;2014.352971;50.585;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;234.139;2036.088637;50.837;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;232.398;2057.775628;51.087;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;248.936;2078.623795;51.326;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;294.197;2098.265987;51.55;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;253.288;2122.162192;51.821;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;268.956;2165.559661;52.309;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;256.77;2188.514289;52.565;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;274.178;2278.049273;53.55;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;279.4;2346.863898;54.293;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;263.733;2394.358253;54.799;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;257.64;2394.641365;54.802;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;303.772;2439.408179;55.274;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;270.696;2441.124204;55.292;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;288.975;2463.874809;55.53;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;288.975;2511.845894;56.028;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;275.919;2512.523727;56.035;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;297.679;2535.531189;56.272;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;281.141;2609.576452;57.027;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;297.679;2633.254577;57.266;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;270.696;2634.744482;57.281;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;261.122;2635.241218;57.286;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;347.292;2680.153434;57.736;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;264.603;2709.716308;58.03;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;298.549;2732.965175;58.26;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;271.567;2759.782349;58.524;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;281.141;2784.590662;58.767;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;305.513;2834.358501;59.251;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;264.603;2836.631927;59.273;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;308.994;2885.747431;59.746;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;275.048;2887.729819;59.765;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;271.567;2887.938534;59.767;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;326.402;2910.737033;59.985;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;320.309;2911.051446;59.988;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;302.031;2964.555058;60.496;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;347.292;3041.28409;61.216;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;334.236;3042.142551;61.224;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;314.217;3043.323147;61.235;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;308.994;3043.64517;61.238;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;285.493;3125.596474;61.996;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;282.012;3125.814251;61.998;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;316.828;3178.09683;62.476;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
